id,name
WDRFernsehen.de,WDR Fernsehen Köln
rbbFernsehen.de,rbb Fernsehen Berlin
MDRFernsehen.de,MDR Fernsehen Sachsen
BRFernsehen.de,BR Fernsehen Süd
