name_old,name_new,xmltv_id_new
SWR Fernsehen Baden-Wurttemberg,SWR Fernsehen Baden-Württemberg,SWRFernsehen.de@BadenWuerttemberg
SWR Fernsehen HD,SWR Fernsehen Baden-Württemberg,SWRFernsehen.de@BadenWuerttemberg
SWR Fernsehen Rheinland-Pfalz,SWR Fernsehen Rheinland-Pfalz,SWRFernsehen.de@RheinlandPfalz
